order_id,order_timestamp,customer_id,sku,category,channel,price_usd,qty,discount_pct,status,city,state,country,order_amount_usd
O101033,2025-06-03 07:11:20,C0056,S-EA28DI,Home,Direct,37.99,3,0.18,completed,Phoenix,AZ,USA,93.46
O101495,2025-06-03 08:20:09,C0175,S-IVWQM9,Beauty,Social,32.69,1,0.18,processing,Los Angeles,CA,USA,26.81
O100243,2025-06-03 08:24:14,C0169,S-GLQJ5S,Home,Email,94.46,3,0.25,completed,Phoenix,AZ,USA,212.53
O101085,2025-06-03 08:54:54,C0194,S-6UFKY2,Sports,Direct,36.54,5,0.04,completed,Boston,MA,USA,175.39
O101225,2025-06-03 11:02:26,C0276,S-3M9IQB,Apparel,Marketplace,33.88,3,0.24,completed,Austin,TX,USA,77.25
O100568,2025-06-03 11:24:15,C0189,S-L9UE42,Beauty,Email,29.61,1,0.07,completed,New York,NY,USA,27.54
O100463,2025-06-03 12:25:02,C0451,S-BCK88D,Beauty,Email,29.57,3,0.19,completed,Los Angeles,CA,USA,71.86
O100478,2025-06-03 13:08:21,C0426,S-P7IYF0,Electronics,Social,140.37,3,0.13,completed,Phoenix,AZ,USA,366.37
O101159,2025-06-03 15:15:52,C0255,S-A8MLIK,Beauty,Social,32.51,3,0.25,completed,Miami,FL,USA,73.15
O100123,2025-06-03 16:17:40,C0498,S-CWTG1M,Sports,Social,40.84,3,,completed,New York,NY,USA,122.52
O100044,2025-06-03 16:29:24,C0099,S-H2ZQU7,Electronics,Search,59.12,2,0.18,completed,Los Angeles,CA,USA,96.96
O100503,2025-06-03 16:36:15,C0019,S-CVITWU,Beauty,Search,21.99,1,0.17,completed,Miami,FL,USA,18.25
O100791,2025-06-03 17:23:46,C0383,S-WW7OPI,Electronics,Direct,121.97,4,0.1,completed,Miami,FL,USA,439.09
O101438,2025-06-03 19:10:17,C0005,S-LTTC95,Sports,Search,83.19,1,0.18,completed,Chicago,IL,USA,68.22
O100528,2025-06-03 20:02:25,C0168,S-LX2TOO,home,Email,98.71,4,0.2,processing,Denver,CO,USA,315.87
O101144,2025-06-03 21:49:55,C0486,S-TMQG6N,Home,Marketplace,75.47,3,0.08,completed,San Francisco,CA,USA,1041.5
O100614,2025-06-03 22:22:49,C0278,S-W3STT1,Electronics,Email,89.04,3,0.13,completed,Austin,TX,USA,232.39
O101164,2025-06-03 23:37:25,C0071,S-HI1RD5,Electronics,Social,108.96,3,0.05,completed,Boston,MA,USA,310.54
O100913,2025-06-04 00:05:43,C0214,S-WBJ9UU,Beauty,Search,61.42,1,,completed,Chicago,IL,USA,61.42
O101346,2025-06-04 01:18:09,C0309,S-L4N7S3,Electronics,Direct,74.86,1,0.18,completed,New York,NY,USA,61.39
O100160,2025-06-04 01:47:52,C0124,S-XQYM52,Home,Search,32.73,3,0.04,processing,Denver,CO,USA,94.26
O101370,2025-06-04 02:24:36,C0253,S-SN5YZ7,Home,Social,87.09,3,0.18,completed,Boston,MA,USA,214.24
O100456,2025-06-04 02:28:44,C0023,S-JBZUTR,Home,Email,85.73,1,0.17,completed,Boston,MA,USA,71.16
O100806,2025-06-04 02:35:57,C0137,S-XVOB7N,Home,Search,51.75,2,0.27,completed,Chicago,IL,USA,75.55
O101247,2025-06-04 03:31:45,C0188,S-GHM56V,Home,Affiliate,21.39,2,0.24,completed,Austin,TX,USA,32.51
O101260,2025-06-04 05:21:00,C0480,S-YZ6L7X,Sports,Direct,36.87,4,0.14,completed,Denver,CO,USA,126.83
O101146,2025-06-04 06:10:44,C0226,S-WY8AV2,Apparel,Email,53.34,5,0.0,completed,Austin,TX,USA,266.7
O101208,2025-06-04 07:29:28,C0467,S-LP9C5S,Apparel,Marketplace,48.32,3,0.0,processing,Seattle,WA,USA,144.96
O100382,2025-06-04 07:30:08,C0421,S-BCGJC3,Sports,Direct,73.19,2,,completed,Denver,CO,USA,146.38
O101353,2025-06-04 08:33:17,C0494,S-DI3WDN,Apparel,Social,45.62,1,0.25,completed,Miami,FL,USA,34.21
O101117,2025-06-04 09:02:58,C0275,S-5KCIHD,Electronics,Social,29.69,4,,returned,Miami,FL,USA,118.76
O100625,2025-06-04 09:54:09,C0233,S-YOSYEO,Home,Marketplace,27.62,2,0.06,completed,Austin,TX,USA,51.93
O100095,2025-06-04 10:24:50,C0424,S-5NSJF6,Sports,Marketplace,30.76,4,,completed,Miami,FL,USA,123.04
O101262,2025-06-04 10:58:40,C0161,S-XIWE6R,Electronics,Direct,193.56,5,,processing,Chicago,IL,USA,967.8
O100541,2025-06-04 11:39:31,C0025,S-QC6DR0,Sports,Search,91.36,3,0.06,completed,Phoenix,AZ,USA,257.64
O100901,2025-06-04 12:10:26,C0079,S-GNLPYO,Beauty,Direct,29.3,5,0.02,completed,Seattle,WA,USA,143.57
O100500,2025-06-04 12:33:17,C0401,S-NN16UX,Electronics,Affiliate,61.9,3,0.28,completed,San Francisco,CA,USA,133.7
O100272,2025-06-04 13:39:38,C0151,S-EZZF8S,Beauty,Social,24.91,4,,completed,Austin,TX,USA,99.64
O100581,2025-06-04 14:02:23,C0145,S-IPI786,Sports,Direct,78.66,4,0.18,completed,Boston,MA,USA,258.0
O100178,2025-06-04 14:43:41,C0087,S-50CEHL,Home,Email,65.64,4,,completed,Austin,TX,USA,262.56
O100433,2025-06-04 15:00:52,C0307,S-QMMU7J,Electronics,Search,84.61,5,0.06,returned,Phoenix,AZ,USA,397.67
O100804,2025-06-04 17:00:33,C0253,S-JQQNVC,Electronics,Email,126.96,3,,completed,Seattle,WA,USA,380.88
O100310,2025-06-04 18:53:19,C0257,S-DTG5NQ,Electronics,Email,58.84,2,,completed,Chicago,IL,USA,117.68
O100881,2025-06-04 19:03:54,C0496,S-K8C9G3,Apparel,Email,26.29,3,0.06,completed,New York,NY,USA,74.14
O100257,2025-06-04 21:49:58,C0431,S-2O83RL,Electronics,Email,146.64,2,0.1,completed,Boston,MA,USA,263.95
O100867,2025-06-04 21:55:24,C0104,S-O06FHR,Home,Search,47.76,2,0.15,completed,Los Angeles,CA,USA,81.19
O100161,2025-06-04 22:21:49,C0024,S-S53SKF,Sports,Search,30.19,1,0.03,processing,Los Angeles,CA,USA,29.28
O100885,2025-06-04 22:48:00,C0248,S-9HEXW8,Apparel,Marketplace,82.38,4,0.09,cancelled,Chicago,IL,USA,299.86
O100114,2025-06-04 23:49:07,C0372,S-493WXA,Sports,Affiliate,47.74,5,0.0,completed,Austin,TX,USA,238.7
O100514,2025-06-05 00:26:53,C0199,S-UYTAUL,Sports,Social,64.77,5,0.0,completed,Austin,TX,USA,323.85
O100518,2025-06-05 03:33:41,C0475,S-70S1F5,Beauty,Marketplace,28.84,2,,completed,Austin,TX,USA,57.68
O101386,2025-06-05 03:56:08,C0018,S-VZN2HL,Apparel,Search,37.86,2,0.19,completed,Seattle,WA,USA,61.33
O101044,2025-06-05 05:01:49,C0030,S-VXSLHU,Sports,Direct,52.74,4,0.08,completed,Miami,FL,USA,194.08
O101153,2025-06-05 05:15:48,C0062,S-FIRJLY,Apparel,Social,45.21,3,,completed,Chicago,IL,USA,135.63
O100849,2025-06-05 05:39:31,C0305,S-HWJWXZ,Home,Social,76.62,1,0.1,completed,Austin,TX,USA,68.96
O101013,2025-06-05 06:46:52,C0253,S-642PW5,Home,Search,28.61,3,0.14,completed,New York,NY,USA,73.81
O100732,2025-06-05 07:03:10,C0393,S-FTCDZ3,Beauty,Marketplace,7.71,4,,returned,Seattle,WA,USA,30.84
O100722,2025-06-05 07:21:32,C0250,S-8T18S1,Home,Search,96.88,1,0.13,completed,Los Angeles,CA,USA,84.29
O100203,2025-06-05 07:25:25,C0213,S-LVYLKF,Home,Search,31.22,1,0.0,completed,San Francisco,CA,USA,31.22
O100404,2025-06-05 07:27:52,C0168,S-HVQRHO,Electronics,Email,39.04,3,0.23,completed,Phoenix,AZ,USA,90.18
O100612,2025-06-05 08:20:06,C0028,S-53YKYY,Electronics,Email,416.93,5,0.0,completed,San Francisco,CA,USA,2084.65
O100904,2025-06-05 09:28:27,C0288,S-M42FQ4,Home,Marketplace,35.78,5,0.01,completed,Seattle,WA,USA,177.11
O100134,2025-06-05 10:48:57,C0058,S-4D145B,Apparel,Social,17.55,3,0.01,completed,Denver,CO,USA,52.12
O101385,2025-06-05 11:27:59,C0408,S-P5MASN,Apparel,Search,14.21,3,0.21,completed,New York,NY,USA,33.68
O100618,2025-06-05 12:12:02,C0041,S-BKADEV,Home,Search,21.71,3,0.12,completed,San Francisco,CA,USA,57.31
O100787,2025-06-05 13:12:43,C0453,S-YAJPGZ,Sports,Email,39.05,5,0.21,completed,San Francisco,CA,USA,154.25
O100751,2025-06-05 14:14:00,C0346,S-CLP81L,Sports,Social,17.99,3,0.19,completed,Chicago,IL,USA,43.72
O100396,2025-06-05 15:57:08,C0227,S-FFUU5F,Beauty,Marketplace,35.74,4,0.06,completed,Boston,MA,USA,134.38
O100014,2025-06-05 18:02:39,C0383,S-39TEX8,Electronics,Email,98.03,3,0.17,completed,Seattle,WA,USA,244.09
O100024,2025-06-05 18:07:30,C0049,S-VYIE6I,Home,Social,46.26,3,0.2,completed,Phoenix,AZ,USA,111.02
O100666,2025-06-05 18:29:16,C0245,S-978V0B,Electronics,Social,66.05,4,0.26,completed,Denver,CO,USA,195.51
O101457,2025-06-05 21:09:15,C0198,S-ZJVAEV,Beauty,Social,34.08,3,0.26,completed,Phoenix,AZ,USA,75.66
O100075,2025-06-06 01:40:12,C0085,S-P38QOL,Electronics,Search,76.29,5,0.26,completed,Boston,MA,USA,282.27
O101378,2025-06-06 02:38:57,C0420,S-VRNEGN,Beauty,Search,17.05,3,0.14,returned,Chicago,IL,USA,43.99
O100734,2025-06-06 03:12:10,C0399,S-MQVAYX,Electronics,Email,50.71,4,0.04,cancelled,Austin,TX,USA,194.73
O100758,2025-06-06 04:21:28,C0364,S-GA46AY,Apparel,Social,23.52,3,0.09,completed,Seattle,WA,USA,64.21
O100279,2025-06-06 04:22:47,C0289,S-910T2F,Sports,Search,36.08,5,0.07,completed,San Francisco,CA,USA,167.77
O101176,2025-06-06 04:32:13,C0174,S-Q8BXY6,Apparel,Direct,29.34,1,0.14,completed,Denver,CO,USA,25.23
O100880,2025-06-06 05:46:09,C0005,S-WEPRS8,Beauty,Search,18.45,2,0.02,completed,Austin,TX,USA,36.16
O101211,2025-06-06 07:32:46,C0001,S-I7ZT8P,Electronics,Search,164.6,2,0.0,processing,Denver,CO,USA,329.2
O100170,2025-06-06 07:57:29,C0285,S-KADEJN,Apparel,Search,14.93,2,,completed,Los Angeles,CA,USA,29.86
O100520,2025-06-06 08:03:26,C0368,S-QBSXLU,Electronics,Affiliate,358.07,2,0.08,completed,Seattle,WA,USA,658.85
O100000,2025-06-06 08:31:16,C0387,S-XAJI0Y,Sports,Search,24.99,4,0.19,completed,San Francisco,CA,USA,80.97
O100322,2025-06-06 10:26:01,C0425,S-4IQ7ZJ,Beauty,Email,14.64,2,0.1,completed,New York,NY,USA,26.35
O100180,2025-06-06 11:11:17,C0441,S-KK791Z,Home,Email,91.62,3,0.02,completed,Los Angeles,CA,USA,269.36
O101325,2025-06-06 11:43:44,C0189,S-NWOSKA,Beauty,Direct,25.88,4,0.24,completed,Seattle,WA,USA,78.68
O100668,2025-06-06 11:50:46,C0176,S-LTFEBE,Sports,Affiliate,65.95,4,0.0,completed,Denver,CO,USA,263.8
O100506,2025-06-06 14:45:33,C0138,S-L6314C,Apparel,Search,29.91,2,0.23,returned,Miami,FL,USA,46.06
O100187,2025-06-06 15:27:48,C0235,S-5AUD9K,Sports,Email,61.0,1,0.02,completed,Austin,TX,USA,59.78
O101490,2025-06-06 16:36:04,C0386,S-Y2SKKF,Home,Search,89.34,3,,completed,Los Angeles,CA,USA,268.02
O101345,2025-06-06 17:53:49,C0426,S-BDA7XF,Electronics,Social,308.13,2,,completed,New York,NY,USA,616.26
O100863,2025-06-06 19:23:43,C0407,S-3BQWRM,Home,Direct,80.8,3,0.14,completed,San Francisco,CA,USA,208.46
O100664,2025-06-06 21:14:05,C0141,S-IQIUXD,Apparel,Affiliate,13.4,4,0.25,processing,Denver,CO,USA,40.2
O101067,2025-06-06 22:33:58,C0150,S-45VYBJ,Electronics,Affiliate,142.47,1,0.27,completed,Los Angeles,CA,USA,104.0
O100065,2025-06-06 22:43:22,C0161,S-ATJ9TZ,Electronics,Affiliate,27.98,5,0.14,completed,San Francisco,CA,USA,120.31
O100335,2025-06-06 23:37:28,C0479,S-EHOU6Q,Electronics,Social,114.13,5,0.27,completed,Boston,MA,USA,416.57
O101468,2025-06-06 23:56:05,C0087,S-PMRG0Z,Apparel,Social,46.91,2,0.09,completed,Seattle,WA,USA,85.38
O100098,2025-06-06 23:58:18,C0355,S-DIA5U6,Electronics,Search,63.5,3,,completed,Chicago,IL,USA,190.5
O101441,2025-06-07 00:36:21,C0172,S-9FMSYG,Sports,Social,34.6,1,,completed,Miami,FL,USA,34.6
O101342,2025-06-07 03:14:54,C0406,S-YO8DJE,Sports,Social,84.26,1,0.12,completed,,CA,USA,74.15
O101154,2025-06-07 03:24:47,C0215,S-MYLQJJ,Electronics,Search,75.23,3,0.21,completed,San Francisco,CA,USA,891.5
O100493,2025-06-07 03:40:05,C0170,S-1C795R,Apparel,Direct,34.79,3,0.0,completed,Denver,CO,USA,104.37
O100634,2025-06-07 06:07:13,C0326,S-BB4M0A,Sports,Direct,35.02,3,,completed,Miami,FL,USA,105.06
O100273,2025-06-07 06:41:49,C0212,S-050E6M,Apparel,Email,40.18,3,0.11,completed,Phoenix,AZ,USA,107.28
O101414,2025-06-07 09:40:05,C0002,S-CFR7CL,Sports,Direct,66.27,1,0.23,completed,Austin,TX,USA,51.03
O100035,2025-06-07 12:20:56,C0366,S-IXOKC1,Apparel,Email,21.1,4,,completed,Los Angeles,CA,USA,84.4
O101080,2025-06-07 13:02:17,C0162,S-S41CRO,Beauty,Affiliate,9.33,2,0.09,completed,Phoenix,AZ,USA,16.98
O100141,2025-06-07 13:21:59,C0005,S-K3ZEZQ,Electronics,Search,66.57,5,0.0,completed,Austin,TX,USA,332.85
O100710,2025-06-07 13:39:42,C0486,S-JSE17Q,Home,Search,75.13,4,0.3,completed,Seattle,WA,USA,210.36
O100201,2025-06-07 15:23:47,C0151,S-BXW76I,Electronics,Email,112.23,5,0.14,completed,San Francisco,CA,USA,482.59
O101383,2025-06-07 15:27:56,C0225,S-7KAYP4,Beauty,Direct,19.31,1,0.13,completed,New York,NY,USA,16.8
O100206,2025-06-07 15:49:53,C0381,S-36U8UE,Electronics,Search,90.88,1,0.26,completed,Boston,MA,USA,67.25
O100164,2025-06-07 15:58:31,C0255,S-BXUX1O,Home,Email,80.76,2,0.0,completed,Chicago,IL,USA,161.52
O100992,2025-06-07 17:25:22,C0434,S-24DSYS,Home,Direct,37.72,5,,completed,Boston,MA,USA,188.6
O100174,2025-06-07 18:40:22,C0301,S-0KM3TZ,Electronics,Affiliate,36.89,2,0.18,completed,New York,NY,USA,60.5
O100096,2025-06-07 19:46:13,C0063,S-2QC1IY,Home,Direct,16.32,4,0.24,returned,Los Angeles,CA,USA,49.61
O100998,2025-06-07 20:32:19,C0309,S-WHCF5S,Electronics,Search,73.04,4,,completed,Los Angeles,CA,USA,292.16
O101420,2025-06-07 20:48:42,C0464,S-3RJK4C,Home,Search,49.8,3,,completed,Chicago,IL,USA,149.4
O100718,2025-06-07 21:21:42,C0307,S-H3REM5,Apparel,Email,13.54,5,0.19,completed,Miami,FL,USA,54.84
O100113,2025-06-07 22:50:01,C0039,S-UHXID4,Apparel,Social,64.83,2,0.16,completed,Denver,CO,USA,108.91
O101355,2025-06-07 23:58:12,C0147,S-PSQZN7,Home,Search,42.24,2,0.08,completed,Los Angeles,CA,USA,77.72
O100928,2025-06-08 01:10:14,C0342,S-DCOKZ5,Home,Social,82.2,2,,completed,San Francisco,CA,USA,164.4
O100349,2025-06-08 02:41:24,C0445,S-J0NMEO,Apparel,Affiliate,63.73,1,0.14,completed,Boston,MA,USA,54.81
O100365,2025-06-08 02:43:37,C0128,S-Z0KZ4Z,Sports,Social,58.87,2,0.06,completed,Phoenix,AZ,USA,110.68
O100556,2025-06-08 04:00:20,C0181,S-2JCN9J,Beauty,Search,21.45,1,0.01,completed,Seattle,WA,USA,21.24
O100047,2025-06-08 07:26:19,C0209,S-ZIM6CF,Apparel,Search,24.51,1,0.09,completed,Denver,CO,USA,22.3
O101466,2025-06-08 07:44:55,C0326,S-AU5IK3,Beauty,Social,18.72,1,0.03,completed,Phoenix,AZ,USA,18.16
O100086,2025-06-08 08:44:46,C0061,S-NLZ15B,Electronics,Social,94.75,3,,processing,Seattle,WA,USA,284.25
O100049,2025-06-08 10:12:19,C0067,S-NAM148,Apparel,Social,26.24,3,0.17,completed,Phoenix,AZ,USA,65.34
O100536,2025-06-08 10:20:05,C0077,S-XRGN74,Electronics,Marketplace,28.0,5,,completed,Austin,TX,USA,140.0
O101045,2025-06-08 10:35:16,C0172,S-IL9YQ8,Apparel,Search,25.58,4,0.03,completed,New York,NY,USA,99.25
O100892,2025-06-08 10:35:18,C0267,S-A31XBI,Electronics,Search,64.32,2,0.24,completed,San Francisco,CA,USA,97.77
O100439,2025-06-08 10:42:17,C0129,S-JFX5LI,Electronics,Social,157.77,1,0.0,completed,Austin,TX,USA,157.77
O100574,2025-06-08 11:09:03,C0186,S-RF7BNH,Electronics,Social,40.17,3,0.18,cancelled,Boston,MA,USA,98.82
O100230,2025-06-08 13:09:43,C0367,S-K8LW2L,Apparel,Affiliate,21.37,4,0.15,returned,Phoenix,AZ,USA,72.66
O100311,2025-06-08 15:35:38,C0354,S-UFZDY3,Apparel,Social,32.27,3,0.19,completed,San Francisco,CA,USA,78.42
O100321,2025-06-08 15:44:06,C0174,S-SFLSE4,Sports,Search,79.17,1,0.32,completed,Seattle,WA,USA,53.84
O101079,2025-06-08 15:48:31,C0423,S-39DG5R,Electronics,Search,61.11,5,0.26,completed,Boston,MA,USA,226.11
O100282,2025-06-08 16:23:44,C0400,S-USWOVC,Home,Search,81.54,5,0.03,completed,Miami,FL,USA,395.47
O100658,2025-06-08 16:34:55,C0098,S-S8314Y,Beauty,Direct,26.18,4,0.08,completed,Austin,TX,USA,96.34
O101331,2025-06-08 16:51:38,C0420,S-A34H8N,Apparel,Marketplace,20.59,1,,completed,Austin,TX,USA,20.59
O101449,2025-06-08 17:31:13,C0227,S-7V4NDJ,Apparel,Affiliate,32.86,3,0.01,completed,Seattle,WA,USA,97.59
O100692,2025-06-08 17:35:00,C0117,S-PLC6PR,Apparel,Marketplace,77.39,5,,completed,Denver,CO,USA,386.95
O100104,2025-06-08 18:14:39,C0060,S-12VJ99,Home,Social,85.72,5,0.13,completed,San Francisco,CA,USA,372.88
O100876,2025-06-08 18:48:30,C0168,S-EYY1EM,Beauty,Social,38.25,1,0.16,completed,Phoenix,AZ,USA,32.13
O100983,2025-06-08 20:30:36,C0422,S-I09M0G,Sports,Social,74.9,3,0.16,processing,Los Angeles,CA,USA,188.75
O100363,2025-06-08 20:39:29,C0101,S-26YG3D,Home,Social,80.79,1,0.24,completed,Denver,CO,USA,61.4
O100213,2025-06-08 21:43:36,C0418,S-Q0MFTG,Sports,Marketplace,41.45,5,0.15,processing,Los Angeles,CA,USA,176.16
O101034,2025-06-08 22:38:05,C0470,S-JJJX1A,Electronics,Social,70.3,1,0.11,returned,Austin,TX,USA,62.57
O101015,2025-06-08 22:42:00,C0490,S-5FKTIS,Home,Direct,72.88,5,0.05,completed,Los Angeles,CA,USA,346.18
O100716,2025-06-08 22:51:59,C0359,S-7N8VOE,Home,Search,46.88,2,0.15,completed,Miami,FL,USA,79.7
O100862,2025-06-09 00:14:02,C0380,S-KRJAWO,Sports,Marketplace,18.3,4,0.1,processing,Los Angeles,CA,USA,65.88
O101040,2025-06-09 00:48:00,C0220,S-5FL2MO,Home,Email,59.77,1,0.19,processing,Phoenix,AZ,USA,48.41
O100926,2025-06-09 00:50:18,C0206,S-EQT8FH,Home,Marketplace,80.6,4,0.17,completed,San Francisco,CA,USA,267.59
O100105,2025-06-09 01:05:46,C0393,S-EM2VAJ,Electronics,Direct,60.06,4,0.12,completed,,NY,USA,211.41
O100361,2025-06-09 01:20:18,C0492,S-H3GM1B,Home,Social,141.59,1,0.15,completed,Boston,MA,USA,120.35
